_Id,_Iteration,_Segment,Sample Number,Hall Voltage [Volts],Type,Mobility [cm²/(V·s)],Carrier Concentration [1/cm³],Hall Coefficient [cm³/C],V.Over,I.Over,Compliance
0,0,0,0,0.00031292635,P,301.846733144398,4.98572622583234E+17,12.5187562378794,False,False,False
1,0,0,1,0.000325991325,P,314.43964187825,4.78605421578028E+17,13.0410330673243,False,False,False
2,0,0,2,0.000319149725,P,307.8175121461,4.88901740231581E+17,12.7663876304538,False,False,False
3,0,0,3,0.00031742495,P,306.13571039702,4.91587594164738E+17,12.6966367806836,False,False,False
4,0,0,4,0.000322304875,P,310.840161154224,4.84147597926758E+17,12.8917486232039,False,False,False
5,0,0,5,0.00031691065,P,305.630823188134,4.92399672886876E+17,12.675697147414,False,False,False
6,0,0,6,0.00030496275,P,294.108215183945,5.11690968128384E+17,12.1978098457149,False,False,False
7,0,0,7,0.00030675365,P,295.840459869608,5.08694846635627E+17,12.2696527599591,False,False,False
8,0,0,8,0.0003246336,P,313.096868147933,4.80658009299789E+17,12.9853430260993,False,False,False
9,0,0,9,0.00033387555,P,322.029871347518,4.67324713487775E+17,13.3558293598848,False,False,False
10,0,0,10,0.0003095777,P,298.610711319093,5.0397561660529E+17,12.3845458457727,False,False,False
11,0,0,11,0.00030401535,P,293.254495749975,5.13180597545866E+17,12.1624027853897,False,False,False
12,0,0,12,0.00030605805,P,295.219526427638,5.097647814257E+17,12.2439002387408,False,False,False
13,0,0,13,0.0003197475,P,308.403992561461,4.87972013955016E+17,12.7907112508611,False,False,False
14,0,0,14,0.0003147679,P,303.583874764101,4.95719733068575E+17,12.5908022469954,False,False,False
15,0,0,15,0.0002999628,P,289.342885651515,5.20118257005418E+17,12.0001731239647,False,False,False
16,0,0,16,0.000311619625,P,300.581645074695,5.00671015106682E+17,12.4662881226904,False,False,False
17,0,0,17,0.00032347415,P,311.995938108769,4.82354091768716E+17,12.9396831819404,False,False,False
18,0,0,18,0.000315373575,P,304.159718291009,4.94781222863963E+17,12.6146847143305,False,False,False
19,0,0,19,0.00031990145,P,308.516320555142,4.87794347771258E+17,12.7953699289821,False,False,False
20,0,0,20,0.000306878025,P,295.962822055067,5.08484533013349E+17,12.2747275949806,False,False,False
21,0,0,21,0.000298732225,P,288.104854827479,5.22353285063874E+17,11.9488271778296,False,False,False
22,0,0,22,0.0003249423,P,313.401327952609,4.80191064744757E+17,12.9979701565614,False,False,False
23,0,0,23,0.00031946875,P,308.107099801658,4.88442224988851E+17,12.7783979551363,False,False,False
24,0,0,24,0.000302717025,P,291.951559801202,5.15470845452782E+17,12.1083649716742,False,False,False
25,0,0,25,0.0003038999,P,293.084001123595,5.13479128116994E+17,12.155331711122,False,False,False
26,0,0,26,0.000310460075,P,299.420173436315,5.02613152730648E+17,12.4181173833002,False,False,False
27,0,0,27,0.00031853155,P,307.218160960249,4.89855537483854E+17,12.7415302092109,False,False,False
28,0,0,28,0.0003186113,P,307.310966764897,4.89707604470607E+17,12.7453792263387,False,False,False
29,0,0,29,0.000329760775,P,318.071089721448,4.73141138019737E+17,13.1916433120204,False,False,False
